Biol.Rep,Tracer,GroupLevel1,Aspartate 132/88,Citrate 191.1/111.1,Glutamate 146.1/102.1,Glutamine 145/127,Taurine 124/80,Aspartate 133/88,Aspartate 133/89,Aspartate 134/89,Aspartate 134/90,Citrate 192.1/111.1,Citrate 192.1/112.1,Citrate 193.1/112.1,Citrate 193.1/113.1,Glutamate 147.1/102.1,Glutamate 147.1/103.1,Glutamate 148.1/103.1,Glutamate 148.1/104.1,Glutamine 146/128,Glutamine 147/129,Taurine 126/82,Citrate 194.1/113.1,Citrate 194.1/114.1,Glutamate 149.1/104.1,Glutamate 149.1/105.1,Glutamine 148/130,Taurine 128/80
1.0,13C-Glc,G5Q2,0.98084458104619,0.9799925645184602,0.9870879319295146,0.9945713539170516,1.0,0.0049454211117581,0.0134917367286119,0.0004285681761429,0.0002896929372967,0.0039224666437458,0.0146404447343216,0.0007860957040522,0.0,0.0005365611143747,0.0106569865065556,0.0001784500979961,0.000920116930938,0.0051809234468295,0.0,1.0,0.0001790638744223,0.0004793645249978,9.554090790877373e-05,0.000524412512712,0.0002477226361188,1.0
2.0,13C-Glc,G5Q2,0.9778066834382984,0.9798508174495812,0.988115004871405,0.98528509319989,1.0,0.0047243328960076,0.0167443809430744,0.0004249811841545,0.000299621538465,0.0052011315706423,0.013036727780777,0.0005022321208103,0.0008173809265645,0.0004279500672247,0.0105194551518218,0.0001258893109487,0.0003924044871137,0.0144076775818135,0.0,1.0,0.0002195254748832,0.0003721846767412,8.149010444863535e-05,0.0003378060070372,0.0003072292182962,1.0
3.0,13C-Glc,G5Q2,0.9699020305571414,0.9780029995477668,0.9986474713207988,0.9922399222278698,1.0,0.0068841947515085,0.0221157063957447,0.0006115503620919,0.0004865179335133,0.0036612410548628,0.01587471416133,0.0008773903266724,0.0009210707882288,0.0,0.0009936743879726,9.936229121857748e-05,0.0,0.007488042891204,0.0,1.0,5.059139841207855e-05,0.0006119927227267,6.341991728234261e-05,0.0001960720827276,0.0002720348809261,1.0
4.0,13C-Glc,G5Q2,0.9702319910821736,0.9679822174507392,0.9922164239154478,0.993479862388105,1.0,0.0072050129645342,0.0213892753673043,0.0006845945471013,0.0004891260388863,0.0078339697166375,0.0213839939190875,0.0005027600778252,0.0013898507372202,0.000343027419862,0.0068551479701114,1.1413372452752229e-07,0.0001556963686078,0.0055071966056838,0.000638178358901,1.0,0.000281741354273,0.0006254667442173,0.000120263972584,0.0003093262196622,0.0003747626473101,1.0
1.0,13C-Glc,G7Q2,0.9532588794483496,0.955790598040552,0.984365412890653,0.9980521215844844,1.0,0.0142587642441023,0.0308235474963743,0.0010881470165271,0.0005706617946463,0.0077216765481494,0.0338349919497747,0.0013052015204867,0.0007551483902467,0.0010241158203063,0.0129929732335665,0.0002163119953329,0.00083052985936,0.0016282984720592,0.0,1.0,0.00011610229493,0.0004762812558603,0.0001151476592332,0.0004555085415478,0.0003195799434562,1.0
2.0,13C-Glc,G7Q2,0.9507704572082976,0.941942717072797,0.965267446149502,0.9943729019002724,1.0,0.0112946028092283,0.035919289789374,0.001096473175983,0.0009191770171169,0.0106863314198568,0.0436503977538453,0.0015234765148535,0.0013007391059016,0.0024863999778835,0.0299572701483494,0.0004258431633042,0.0013894615020056,0.0053147942445041,0.0,1.0,0.0001394382682855,0.0007568998644599,0.0001000228579279,0.0003735562010271,0.0003123038552235,1.0
3.0,13C-Glc,G7Q2,0.9527208405111532,0.9454970309175758,0.9901367734411222,0.9966421557075577,1.0,0.0117871969123542,0.0335642033168153,0.0010641068617259,0.0008636523979512,0.0087259375879427,0.0414355099863163,0.0013971277333874,0.001971486175845,0.0016085419257614,0.0068735961425875,0.0002518938860521,0.0007672004159782,0.0026616920212224,0.0003223400473444,1.0,0.0001908069601392,0.0007821006387934,9.066128241862292e-05,0.0002713329060797,0.0003738122238752,1.0
4.0,13C-Glc,G7Q2,0.95126766203348,0.952006200653896,0.9921688550427188,0.9907439392763212,1.0,0.0140410527134114,0.0328555150572573,0.0011664554436678,0.0006693147521834,0.0084928019696006,0.0349025025033478,0.001663925826234,0.0019856393586075,0.0,0.0067825787103979,0.0003207883473795,0.0003703629612136,0.0089532611808736,0.0,1.0,0.0003103878921932,0.0006385417961207,7.535284271018873e-05,0.0002820620955797,0.0003027995428052,1.0
1.0,13C-Glc,G9Q2,0.9541744062391094,0.9467171453270228,0.9758892001353662,0.995274364338686,1.0,0.0147473066286255,0.0291036425503842,0.0012283313161889,0.0007463132656917,0.0109533647736524,0.038243950321938,0.0011953893595369,0.0021102678654031,0.0025784774739583,0.0199736202154204,0.0004446917657177,0.0007270405835263,0.0044302578202334,0.0,1.0,0.0001440950379882,0.0006357873144581,8.803580208882368e-05,0.000298934023922,0.0002953778410804,1.0
2.0,13C-Glc,G9Q2,0.9403385413192302,0.9330963771193054,0.9813811461233488,0.9940846873570072,1.0,0.0236979866609758,0.0338898680031053,0.0015792601276737,0.0004943438890148,0.0130947261951574,0.0498515102420275,0.0017278210685359,0.0013268609580037,0.0018763141665774,0.0153852491452239,0.0002804272641618,0.0007872620547631,0.0056393722168837,0.0,1.0,0.0002422003492865,0.0006605040676835,7.797097193715261e-05,0.0002116302739875,0.000275940426109,1.0
