Biol.Rep,Tracer,GroupLevel1,3PG 185.06/97.06,Lactate 89.07/89.07,Malate 133.09/115.09,Taurine 124/80,3PG 186.06/97.06,Lactate 90.07/90.07,Malate 134.09/116.09,Malate 135.09/117.09,Taurine 126/82,Taurine 128/80
1.0,13C-Glc,G5Q2,0.6734241511607539,0.8815863669423039,0.9796161609512648,1.0,0.326575848839246,0.1184136330576962,0.0160565949113128,0.0043272441374223,1.0,1.0
2.0,13C-Glc,G5Q2,0.6654017501860796,0.8387136739412809,0.985164957583367,1.0,0.3345982498139203,0.1612863260587191,0.0113909144564592,0.0034441279601736,1.0,1.0
3.0,13C-Glc,G5Q2,0.6271992355164311,0.8399946656817837,0.9871048589346418,1.0,0.372800764483569,0.1600053343182162,0.0097082482839084,0.0031868927814496,1.0,1.0
4.0,13C-Glc,G5Q2,0.647669950266938,0.763767882366143,0.971129646362626,1.0,0.352330049733062,0.2362321176338569,0.02139184943775,0.0074785041996238,1.0,1.0
1.0,13C-Glc,G7Q2,0.7369509086046514,0.704270579732785,0.9631848524937076,1.0,0.2630490913953486,0.2957294202672149,0.0318932431466121,0.0049219043596801,1.0,1.0
2.0,13C-Glc,G7Q2,0.6240480741327284,0.7821921648444203,0.968033247178415,1.0,0.3759519258672715,0.2178078351555796,0.0319667528215849,0.0,1.0,1.0
3.0,13C-Glc,G7Q2,0.6719704975748114,0.787286133651134,0.9696063771050206,1.0,0.3280295024251886,0.212713866348866,0.0256712611563486,0.0047223617386307,1.0,1.0
4.0,13C-Glc,G7Q2,0.7425365142962397,0.7780636929877737,0.9685853281560136,1.0,0.2574634857037602,0.2219363070122262,0.0277723171993272,0.003642354644659,1.0,1.0
1.0,13C-Glc,G9Q2,0.738322884451065,0.7094304121927371,0.966619576812282,1.0,0.261677115548935,0.2905695878072629,0.0313099576098552,0.0020704655778628,1.0,1.0
2.0,13C-Glc,G9Q2,0.7722948607109567,0.7251867220998575,0.960547829379524,1.0,0.2277051392890433,0.2748132779001425,0.036671639830532,0.0027805307899441,1.0,1.0
3.0,13C-Glc,G9Q2,0.7589908529650606,0.6863884424094091,0.9441572967889562,1.0,0.2410091470349394,0.3136115575905909,0.0512655098318647,0.0045771933791791,1.0,1.0
4.0,13C-Glc,G9Q2,0.7598923303134905,0.7013542128470861,0.9572245196886504,1.0,0.2401076696865095,0.2986457871529139,0.0410004088224265,0.001775071488923,1.0,1.0
1.0,13C-Glc,G11Q2,0.6261260409531315,0.7524431866934194,0.9227612471927822,1.0,0.3738739590468685,0.2475568133065805,0.072568897782134,0.0046698550250837,1.0,1.0
2.0,13C-Glc,G11Q2,0.5918051029918934,0.7628489373383492,0.9278103983352428,1.0,0.4081948970081067,0.2371510626616507,0.0672396612187867,0.0049499404459705,1.0,1.0
3.0,13C-Glc,G11Q2,0.6041017099524696,0.7402580044983726,0.9193506067865131,1.0,0.3958982900475305,0.2597419955016272,0.0748343140645882,0.0058150791488985,1.0,1.0
4.0,13C-Glc,G11Q2,0.6658165988186169,0.7060365587674008,0.9239735406170412,1.0,0.3341834011813832,0.2939634412325992,0.0713153690755653,0.0047110903073934,1.0,1.0
1.0,5-13C-Glc,G5Q2,0.5896407110467059,0.747196363249188,0.9255607346360848,1.0,0.4103592889532941,0.2528036367508119,0.0681207217809598,0.0063185435829553,1.0,1.0
2.0,5-13C-Glc,G5Q2,0.6516732427189467,0.8490809096944065,0.9535730731276572,1.0,0.3483267572810534,0.1509190903055933,0.0426376443662024,0.0037892825061403,1.0,1.0
3.0,5-13C-Glc,G5Q2,0.6806512631485937,0.7727307842022529,0.9240979690106552,1.0,0.3193487368514063,0.2272692157977471,0.066663785767235,0.0092382452221097,1.0,1.0
4.0,5-13C-Glc,G5Q2,0.0,0.8002268594985222,0.9516006211079427,1.0,1.0,0.1997731405014777,0.0483993788920571,0.0,1.0,1.0
1.0,5-13C-Glc,G7Q2,0.6527170601836308,0.8502365522006704,0.9107334618036648,1.0,0.3472829398163692,0.1497634477993296,0.0798939919068523,0.0093725462894827,1.0,1.0
